Workflow Count: 100 alft_Task execution time : 0.1 vita_Data transfer time: 0.2 gama_Deadline Factor: 4.0
Repeat	alft	Name	totalCost	               totalRU	totalSR	   DD	  ST
0	0.1	ROSA	55812.80000	0.60177	0.82000	-0.04217	0.50805
0	0.1	NOSF	20592.47160	0.78982	0.62000	-0.03270	0.28176
0	0.1	RMWS	16971.95140	0.83610	0.85000	-0.13680	0.49944
1	0.1	ROSA	37059.60000	0.60709	0.83000	-0.06028	0.35038
1	0.1	NOSF	18252.82700	0.71113	0.72000	-0.02846	0.26746
1	0.1	RMWS	10752.37040	0.77014	0.83000	-0.20944	0.60362
2	0.1	ROSA	53891.20000	0.73207	0.84000	-0.05925	0.37589
2	0.1	NOSF	24660.78740	0.85028	0.63000	-0.01846	0.17884
2	0.1	RMWS	20248.08920	0.87744	0.84000	-0.10891	0.53933
3	0.1	ROSA	57087.60000	0.75972	0.82000	-0.05041	0.44985
3	0.1	NOSF	33012.26920	0.83806	0.68000	-0.02934	0.27035
3	0.1	RMWS	22386.35540	0.87289	0.83000	-0.13526	0.69056
4	0.1	ROSA	42309.60000	0.67296	0.69000	-0.03157	0.43143
4	0.1	NOSF	21168.43460	0.78566	0.74000	-0.05142	0.25687
4	0.1	RMWS	18385.36820	0.77618	0.80000	-0.17255	0.68978
5	0.1	ROSA	52657.20000	0.77492	0.92000	-0.05485	0.32067
5	0.1	NOSF	25724.97340	0.85317	0.68000	-0.01787	0.18994
5	0.1	RMWS	21604.29720	0.88801	0.87000	-0.14290	0.53896
6	0.1	ROSA	41953.60000	0.62097	0.77000	-0.02945	0.30408
6	0.1	NOSF	15458.49940	0.81154	0.76000	-0.02981	0.16550
6	0.1	RMWS	14282.05680	0.82393	0.85000	-0.18243	0.44243
7	0.1	ROSA	40502.80000	0.51271	0.84000	-0.05472	0.55516
7	0.1	NOSF	20892.30380	0.66170	0.70000	-0.02752	0.30993
7	0.1	RMWS	10801.35200	0.69944	0.84000	-0.18217	0.65716
8	0.1	ROSA	58756.80000	0.71420	0.88000	-0.07567	0.60008
8	0.1	NOSF	36834.01260	0.77866	0.73000	-0.01351	0.36987
8	0.1	RMWS	24067.17160	0.83598	0.82000	-0.14874	0.69148
9	0.1	ROSA	41254.40000	0.58610	0.81000	-0.04840	0.43193
9	0.1	NOSF	19551.53480	0.74322	0.62000	-0.02147	0.22552
9	0.1	RMWS	19244.44620	0.75890	0.80000	-0.18885	0.56316
Average:	0.1	ROSA	48128.56000	0.65825	0.82200	-0.05068	0.43275
Average:	0.1	NOSF	23614.81138	0.78232	0.68800	-0.02705	0.25160
Average:	0.1	RMWS	17874.34584	0.81390	0.83300	-0.16080	0.59159
0	0.15000000000000002	ROSA	70064.80000	0.72902	0.82000	-0.05681	0.60578
0	0.15000000000000002	NOSF	51177.89620	0.81411	0.66000	-0.03030	0.33834
0	0.15000000000000002	RMWS	22185.31500	0.90208	0.84000	-0.13277	0.55305
1	0.15000000000000002	ROSA	63414.80000	0.73668	0.73000	-0.02680	0.52853
1	0.15000000000000002	NOSF	41186.41960	0.82203	0.63000	-0.03789	0.32954
1	0.15000000000000002	RMWS	22218.94060	0.86226	0.78000	-0.08333	0.70616
2	0.15000000000000002	ROSA	49752.80000	0.80046	0.74000	-0.04899	0.37261
2	0.15000000000000002	NOSF	35167.06060	0.81233	0.65000	-0.04106	0.30174
2	0.15000000000000002	RMWS	24233.21220	0.83076	0.79000	-0.11078	0.57623
3	0.15000000000000002	ROSA	42825.60000	0.68260	0.77000	-0.04188	0.44112
3	0.15000000000000002	NOSF	25713.20460	0.77025	0.58000	-0.04954	0.26655
3	0.15000000000000002	RMWS	19029.59160	0.79337	0.74000	-0.11641	0.62466
4	0.15000000000000002	ROSA	65218.00000	0.61588	0.73000	-0.03735	0.43899
4	0.15000000000000002	NOSF	23298.70480	0.85618	0.65000	-0.03903	0.20669
4	0.15000000000000002	RMWS	17878.18640	0.86292	0.80000	-0.10444	0.55277
5	0.15000000000000002	ROSA	61876.40000	0.70910	0.80000	-0.05002	0.54402
5	0.15000000000000002	NOSF	36510.35860	0.82999	0.69000	-0.03352	0.24440
5	0.15000000000000002	RMWS	20239.94560	0.87818	0.81000	-0.11745	0.53289
6	0.15000000000000002	ROSA	69506.00000	0.73586	0.73000	-0.03132	0.58898
6	0.15000000000000002	NOSF	40414.28800	0.85732	0.72000	-0.05670	0.28884
6	0.15000000000000002	RMWS	23970.49240	0.89836	0.77000	-0.09881	0.59324
7	0.15000000000000002	ROSA	52316.00000	0.58584	0.83000	-0.05532	0.50627
7	0.15000000000000002	NOSF	18018.52240	0.79254	0.64000	-0.04257	0.27313
7	0.15000000000000002	RMWS	16806.82540	0.81311	0.80000	-0.15240	0.52782
8	0.15000000000000002	ROSA	64472.00000	0.58540	0.69000	-0.04332	0.70874
8	0.15000000000000002	NOSF	36177.38180	0.76413	0.63000	-0.03659	0.32109
8	0.15000000000000002	RMWS	22266.94660	0.81856	0.72000	-0.13250	0.72546
9	0.15000000000000002	ROSA	43852.00000	0.65149	0.70000	0.00304	0.48533
9	0.15000000000000002	NOSF	32510.94320	0.67764	0.75000	-0.06978	0.36305
