Workflow Count: 100 alft_Task execution time : 0.2 vita_Data transfer time: 0.2 gama_Deadline Factor: 1.0
Repeat	gama	Name	totalCost	               totalRU	totalSR	   DD	  ST
0	1.0	ROSA	152454.40000	0.22550	0.00000	1.12692	1.99889
0	1.0	NOSF	109017.60000	0.31401	0.00000	1.14499	0.96843
0	1.0	RMWS	100528.00800	0.33734	0.00000	1.16800	1.21992
1	1.0	ROSA	165747.20000	0.21023	0.00000	1.05516	1.97717
1	1.0	NOSF	106521.31960	0.31541	0.00000	1.07001	1.00042
1	1.0	RMWS	97818.15940	0.34210	0.00000	1.07650	1.25494
2	1.0	ROSA	182003.20000	0.23513	0.00000	1.25296	2.41964
2	1.0	NOSF	129161.98200	0.32812	0.00000	1.26758	1.24402
2	1.0	RMWS	117781.14340	0.35761	0.00000	1.28060	1.49017
3	1.0	ROSA	181248.00000	0.18588	0.00000	1.12625	2.37385
3	1.0	NOSF	115155.63920	0.28348	0.00000	1.14455	1.12470
3	1.0	RMWS	105916.23640	0.30413	0.00000	1.16922	1.43702
4	1.0	ROSA	179539.20000	0.25407	0.00000	0.97439	2.22643
4	1.0	NOSF	105358.56680	0.42288	0.00000	0.98577	0.80458
4	1.0	RMWS	92617.50780	0.47733	0.00000	0.99212	0.89685
5	1.0	ROSA	156656.00000	0.20816	0.00000	1.11571	2.07149
5	1.0	NOSF	108538.93800	0.29899	0.00000	1.12824	1.02442
5	1.0	RMWS	98942.90200	0.32342	0.00000	1.14201	1.10554
6	1.0	ROSA	165561.60000	0.13554	0.00000	1.05933	2.26061
6	1.0	NOSF	110067.47680	0.20105	0.00000	1.08107	1.21764
6	1.0	RMWS	101851.17260	0.21385	0.00000	1.10175	1.50316
7	1.0	ROSA	242153.60000	0.25161	0.00000	0.98126	2.96763
7	1.0	NOSF	149874.82140	0.39857	0.00000	0.99322	1.29679
7	1.0	RMWS	132259.97660	0.44548	0.00000	1.00684	1.34484
8	1.0	ROSA	178656.00000	0.21664	0.00000	1.34046	2.40465
8	1.0	NOSF	120562.40340	0.31505	0.00000	1.35459	1.21616
8	1.0	RMWS	110684.54220	0.34055	0.00000	1.36814	1.46235
9	1.0	ROSA	162640.00000	0.20327	0.00000	1.16091	2.20030
9	1.0	NOSF	115078.24800	0.28194	0.00000	1.17554	1.19620
9	1.0	RMWS	106337.17640	0.30185	0.00000	1.19081	1.47310
Average:	1.0	ROSA	176665.92000	0.21260	0.00000	1.11934	2.29007
Average:	1.0	NOSF	116933.69952	0.31595	0.00000	1.13456	1.10934
Average:	1.0	RMWS	106473.68248	0.34437	0.00000	1.14960	1.31879
0	2.0	ROSA	59497.60000	0.42567	0.56000	0.19702	0.79890
0	2.0	NOSF	59199.08460	0.48155	0.25000	0.25088	0.51934
0	2.0	RMWS	63348.77260	0.37812	0.55000	0.07200	1.07594
1	2.0	ROSA	63827.20000	0.42218	0.65000	0.13294	0.70014
