Workflow Count: 100 alft_Task execution time : 0.2 vita_Data transfer time: 0.1 gama_Deadline Factor: 4.0
Repeat	vita	Name	totalCost	               totalRU	totalSR	   DD	  ST
0	0.1	ROSA	44192.40000	0.68276	0.66000	0.01657	0.46971
0	0.1	NOSF	32397.77740	0.69301	0.61000	-0.02759	0.35424
0	0.1	RMWS	19006.50100	0.74635	0.75000	-0.16088	0.66957
1	0.1	ROSA	39635.60000	0.73900	0.66000	0.00889	0.30350
1	0.1	NOSF	20249.44780	0.78677	0.63000	-0.02859	0.25901
1	0.1	RMWS	16655.29200	0.79843	0.81000	-0.14629	0.49683
2	0.1	ROSA	68256.80000	0.64322	0.69000	-0.02658	0.63453
2	0.1	NOSF	35628.99000	0.81163	0.52000	-0.00490	0.31877
2	0.1	RMWS	25018.37000	0.84485	0.67000	-0.06312	0.69161
3	0.1	ROSA	61262.00000	0.68069	0.70000	-0.02175	0.50197
3	0.1	NOSF	26464.52280	0.82560	0.67000	-0.04266	0.28928
3	0.1	RMWS	19132.88600	0.83817	0.79000	-0.12137	0.66692
4	0.1	ROSA	71144.40000	0.74357	0.76000	-0.01880	0.51051
4	0.1	NOSF	33230.17440	0.88076	0.61000	-0.02372	0.23222
4	0.1	RMWS	20834.11000	0.89165	0.76000	-0.07096	0.51405
5	0.1	ROSA	48694.00000	0.64539	0.71000	-0.00563	0.39132
5	0.1	NOSF	20307.38600	0.77714	0.55000	0.00473	0.23193
5	0.1	RMWS	11082.67340	0.83990	0.85000	-0.14607	0.43310
6	0.1	ROSA	44982.80000	0.74270	0.73000	-0.00799	0.33662
6	0.1	NOSF	23369.25080	0.80509	0.64000	-0.04256	0.26064
6	0.1	RMWS	20778.53160	0.80689	0.75000	-0.09049	0.51695
7	0.1	ROSA	45011.60000	0.57486	0.72000	-0.01649	0.38163
7	0.1	NOSF	18415.81680	0.76427	0.64000	-0.04038	0.25775
7	0.1	RMWS	14886.93180	0.76715	0.84000	-0.17332	0.60631
8	0.1	ROSA	58768.00000	0.74028	0.78000	-0.04220	0.39834
8	0.1	NOSF	32551.89240	0.84492	0.67000	-0.05464	0.22203
8	0.1	RMWS	22939.35940	0.87529	0.78000	-0.11205	0.46532
9	0.1	ROSA	49248.00000	0.76966	0.72000	-0.02443	0.34674
9	0.1	NOSF	25786.11920	0.80498	0.66000	-0.04034	0.27862
9	0.1	RMWS	16136.32300	0.83931	0.80000	-0.11734	0.54232
Average:	0.1	ROSA	53119.56000	0.69621	0.71300	-0.01384	0.42749
Average:	0.1	NOSF	26840.13776	0.79941	0.62000	-0.03006	0.27045
Average:	0.1	RMWS	18647.09782	0.82480	0.78000	-0.12019	0.56030
0	0.15000000000000002	ROSA	47913.60000	0.53412	0.67000	0.01122	0.44070
0	0.15000000000000002	NOSF	16881.25020	0.77292	0.64000	-0.00861	0.21058
0	0.15000000000000002	RMWS	11398.99680	0.79861	0.83000	-0.19980	0.49679
1	0.15000000000000002	ROSA	63118.40000	0.58412	0.69000	-0.03464	0.55562
1	0.15000000000000002	NOSF	22057.89960	0.80640	0.65000	-0.03770	0.29196
1	0.15000000000000002	RMWS	18929.58960	0.79826	0.80000	-0.11377	0.66658
2	0.15000000000000002	ROSA	63834.40000	0.67294	0.71000	0.00268	0.44847
2	0.15000000000000002	NOSF	34881.82860	0.81189	0.66000	-0.04609	0.28759
2	0.15000000000000002	RMWS	23887.56380	0.83803	0.79000	-0.12820	0.63723
3	0.15000000000000002	ROSA	41372.00000	0.59906	0.73000	-0.05639	0.27515
3	0.15000000000000002	NOSF	11082.75640	0.82430	0.58000	-0.00882	0.14636
3	0.15000000000000002	RMWS	14104.44100	0.80452	0.82000	-0.13825	0.37109
4	0.15000000000000002	ROSA	50495.20000	0.77312	0.73000	-0.02709	0.31258
4	0.15000000000000002	NOSF	28493.32960	0.84903	0.67000	-0.03285	0.19526
4	0.15000000000000002	RMWS	16407.62080	0.87481	0.81000	-0.10762	0.47165
5	0.15000000000000002	ROSA	56528.00000	0.61648	0.83000	-0.04183	0.50188
5	0.15000000000000002	NOSF	22200.25120	0.81545	0.58000	-0.02595	0.19762
5	0.15000000000000002	RMWS	19259.25000	0.83145	0.79000	-0.16906	0.43261
6	0.15000000000000002	ROSA	55118.80000	0.61316	0.69000	-0.01704	0.49538
6	0.15000000000000002	NOSF	34445.83020	0.74861	0.52000	-0.00827	0.24725
6	0.15000000000000002	RMWS	19097.51160	0.81373	0.70000	-0.11322	0.52553
7	0.15000000000000002	ROSA	66347.20000	0.79338	0.79000	-0.01549	0.46464
7	0.15000000000000002	NOSF	45792.13540	0.82271	0.53000	-0.01402	0.26892
7	0.15000000000000002	RMWS	28367.19640	0.88259	0.74000	-0.13343	0.67800
8	0.15000000000000002	ROSA	62011.60000	0.78580	0.75000	-0.03575	0.44936
8	0.15000000000000002	NOSF	47228.05680	0.83856	0.68000	-0.07002	0.25561
8	0.15000000000000002	RMWS	25184.36360	0.89062	0.76000	-0.12118	0.53207
9	0.15000000000000002	ROSA	52531.20000	0.72932	0.76000	-0.01976	0.39868
9	0.15000000000000002	NOSF	23521.79020	0.84598	0.66000	-0.02727	0.20132
9	0.15000000000000002	RMWS	15294.61300	0.88337	0.81000	-0.14658	0.48166
Average:	0.15000000000000002	ROSA	55927.04000	0.67015	0.73500	-0.02341	0.43425
Average:	0.15000000000000002	NOSF	28658.51282	0.81359	0.61700	-0.02796	0.23025
Average:	0.15000000000000002	RMWS	19193.11466	0.84160	0.78500	-0.13711	0.52932
0	0.2	ROSA	45442.40000	0.58252	0.76000	-0.03594	0.36647
0	0.2	NOSF	21119.68560	0.75965	0.67000	-0.04353	0.24219
0	0.2	RMWS	16169.19820	0.75147	0.76000	-0.09704	0.56961
1	0.2	ROSA	45176.80000	0.71448	0.79000	-0.04344	0.33809
1	0.2	NOSF	21581.68040	0.82625	0.70000	-0.04045	0.17671
1	0.2	RMWS	18189.46280	0.83211	0.77000	-0.11531	0.32954
2	0.2	ROSA	35096.00000	0.61494	0.74000	-0.03634	0.23922
2	0.2	NOSF	12132.93560	0.80579	0.65000	-0.02245	0.14813
2	0.2	RMWS	14092.50120	0.77913	0.81000	-0.19951	0.36378
3	0.2	ROSA	59262.00000	0.77005	0.74000	-0.03799	0.54218
3	0.2	NOSF	51966.22740	0.75900	0.59000	-0.02353	0.34722
3	0.2	RMWS	29410.13440	0.83848	0.66000	-0.09090	0.68323
4	0.2	ROSA	46703.20000	0.64679	0.72000	-0.01835	0.46734
4	0.2	NOSF	27650.62780	0.74790	0.58000	-0.00301	0.26380
4	0.2	RMWS	18302.01260	0.77006	0.76000	-0.12595	0.56825
5	0.2	ROSA	48170.00000	0.72388	0.77000	-0.02664	0.36200
5	0.2	NOSF	28689.95640	0.80424	0.64000	-0.04849	0.24719
5	0.2	RMWS	19800.90720	0.83639	0.77000	-0.14819	0.55871
6	0.2	ROSA	51063.60000	0.64181	0.73000	-0.01252	0.32861
6	0.2	NOSF	19875.80320	0.81516	0.67000	-0.00906	0.18935
6	0.2	RMWS	16584.74000	0.85500	0.79000	-0.09888	0.40809
7	0.2	ROSA	44153.60000	0.74886	0.71000	-0.03857	0.37448
7	0.2	NOSF	32792.22420	0.76651	0.64000	-0.05300	0.23423
7	0.2	RMWS	20969.23480	0.80281	0.76000	-0.14987	0.61597
8	0.2	ROSA	53079.20000	0.70744	0.71000	-0.04388	0.51427
8	0.2	NOSF	25496.99740	0.80661	0.63000	-0.02048	0.34034
8	0.2	RMWS	16118.75120	0.80883	0.72000	-0.10726	0.70438
9	0.2	ROSA	40816.40000	0.69451	0.77000	-0.04873	0.29600
9	0.2	NOSF	25379.07520	0.77079	0.69000	-0.02635	0.19380
9	0.2	RMWS	14561.36700	0.82702	0.73000	-0.11876	0.44628
Average:	0.2	ROSA	46896.32000	0.68453	0.74400	-0.03424	0.38287
Average:	0.2	NOSF	26668.52132	0.78619	0.64600	-0.02903	0.23830
Average:	0.2	RMWS	18419.83094	0.81013	0.75300	-0.12517	0.52479
0	0.25	ROSA	42676.00000	0.68814	0.75000	-0.04990	0.34401
0	0.25	NOSF	28796.01340	0.78147	0.57000	-0.03132	0.16793
0	0.25	RMWS	21208.71520	0.81336	0.73000	-0.13417	0.42570
1	0.25	ROSA	50526.00000	0.71470	0.77000	-0.03238	0.35800
1	0.25	NOSF	25426.14880	0.84193	0.64000	-0.02705	0.17281
1	0.25	RMWS	21019.41800	0.85470	0.80000	-0.12397	0.43717
2	0.25	ROSA	47250.40000	0.77401	0.79000	-0.03435	0.34733
2	0.25	NOSF	29102.55340	0.81533	0.63000	-0.02225	0.24788
2	0.25	RMWS	20935.63660	0.84072	0.81000	-0.12311	0.57604
3	0.25	ROSA	52681.60000	0.65556	0.81000	-0.03688	0.42757
3	0.25	NOSF	30472.86880	0.79308	0.55000	-0.01645	0.19305
3	0.25	RMWS	21652.81700	0.85704	0.68000	-0.11911	0.46691
4	0.25	ROSA	35165.60000	0.69568	0.66000	-0.02332	0.33864
4	0.25	NOSF	22255.00640	0.72604	0.66000	-0.02728	0.22450
4	0.25	RMWS	17621.09240	0.74322	0.77000	-0.19082	0.54187
5	0.25	ROSA	54584.00000	0.57988	0.67000	-0.02505	0.57884
5	0.25	NOSF	30656.36700	0.71964	0.59000	-0.00933	0.32872
5	0.25	RMWS	18960.80160	0.76417	0.74000	-0.13451	0.65423
6	0.25	ROSA	59540.00000	0.78768	0.75000	-0.03501	0.44027
6	0.25	NOSF	35839.96560	0.83376	0.53000	0.00346	0.23559
6	0.25	RMWS	27304.82100	0.87456	0.78000	-0.08272	0.59267
7	0.25	ROSA	38262.40000	0.77714	0.77000	-0.04203	0.28327
7	0.25	NOSF	29567.70720	0.77369	0.70000	-0.06312	0.20351
7	0.25	RMWS	20106.48780	0.81495	0.71000	-0.13687	0.51436
8	0.25	ROSA	47708.80000	0.66968	0.72000	-0.00813	0.34728
8	0.25	NOSF	18297.95380	0.83175	0.54000	-0.00938	0.18643
8	0.25	RMWS	17631.52700	0.82579	0.74000	-0.11596	0.46297
9	0.25	ROSA	62159.60000	0.71330	0.82000	-0.04303	0.47113
9	0.25	NOSF	33571.08100	0.83178	0.50000	-0.01876	0.25823
9	0.25	RMWS	23329.83860	0.87838	0.76000	-0.09768	0.52887
Average:	0.25	ROSA	49055.44000	0.70558	0.75100	-0.03301	0.39363
Average:	0.25	NOSF	28398.56654	0.79485	0.59100	-0.02215	0.22186
Average:	0.25	RMWS	20977.11552	0.82669	0.75200	-0.12589	0.52008
0	0.3	ROSA	49747.20000	0.76306	0.77000	-0.03807	0.36858
0	0.3	NOSF	37334.37360	0.77918	0.61000	-0.02501	0.29442
0	0.3	RMWS	19327.14920	0.84629	0.72000	-0.10620	0.56629
1	0.3	ROSA	47894.80000	0.61227	0.79000	-0.03710	0.44065
1	0.3	NOSF	36348.24360	0.68760	0.65000	-0.03782	0.24354
1	0.3	RMWS	19599.27540	0.79490	0.73000	-0.14424	0.52800
2	0.3	ROSA	50022.80000	0.58837	0.75000	-0.00748	0.45945
2	0.3	NOSF	28390.94940	0.73245	0.62000	-0.01935	0.25396
2	0.3	RMWS	21696.67300	0.77358	0.75000	-0.13443	0.51261
3	0.3	ROSA	51692.80000	0.70449	0.75000	-0.03077	0.48765
3	0.3	NOSF	34968.91680	0.77820	0.58000	-0.03844	0.28410
3	0.3	RMWS	26751.56340	0.80402	0.74000	-0.10097	0.59152
4	0.3	ROSA	43712.80000	0.61846	0.74000	-0.05571	0.38074
4	0.3	NOSF	19345.11220	0.77868	0.56000	0.00307	0.22207
4	0.3	RMWS	17219.24560	0.76035	0.74000	-0.09863	0.51527
5	0.3	ROSA	70851.60000	0.61569	0.84000	-0.03559	0.58472
5	0.3	NOSF	30252.85140	0.83949	0.49000	0.00993	0.21659
5	0.3	RMWS	18315.28100	0.87772	0.76000	-0.12599	0.47896
6	0.3	ROSA	51098.00000	0.72758	0.70000	-0.02671	0.44899
6	0.3	NOSF	36658.70880	0.74712	0.57000	-0.02388	0.34462
6	0.3	RMWS	23347.69800	0.79680	0.71000	-0.10619	0.72380
7	0.3	ROSA	63710.00000	0.76370	0.85000	-0.05147	0.44743
7	0.3	NOSF	43727.59100	0.82842	0.64000	-0.03427	0.26194
7	0.3	RMWS	20387.52280	0.88416	0.79000	-0.10432	0.57344
8	0.3	ROSA	60408.40000	0.49990	0.68000	-0.02608	0.62560
8	0.3	NOSF	24878.90060	0.74043	0.60000	-0.00990	0.29704
8	0.3	RMWS	22562.61140	0.71378	0.72000	-0.14675	0.65041
9	0.3	ROSA	45290.00000	0.56045	0.66000	0.00220	0.40702
9	0.3	NOSF	20842.14520	0.75526	0.59000	-0.00012	0.19306
9	0.3	RMWS	17320.69760	0.77904	0.78000	-0.13775	0.47711
Average:	0.3	ROSA	53442.84000	0.64540	0.75300	-0.03068	0.46508
Average:	0.3	NOSF	31274.77926	0.76668	0.59100	-0.01758	0.26113
Average:	0.3	RMWS	20652.77174	0.80307	0.74400	-0.12055	0.56174
0	0.35	ROSA	56166.00000	0.62068	0.71000	-0.01535	0.47598
0	0.35	NOSF	37448.71140	0.72497	0.51000	0.02549	0.25584
0	0.35	RMWS	25325.34620	0.80427	0.69000	-0.11518	0.61543
1	0.35	ROSA	54375.60000	0.52945	0.76000	-0.01635	0.42910
1	0.35	NOSF	22931.98560	0.76387	0.60000	-0.01690	0.22806
1	0.35	RMWS	18382.87940	0.76276	0.74000	-0.16410	0.55323
