Workflow Count: 30 alft_Task execution time : 0.2 vita_Data transfer time: 0.2 gama_Deadline Factor: 4.0
Repeat	workflowNum	Name	totalCost	               totalRU	totalSR	   DD	  ST
0	30.0	ROSA	10394.40000	0.53700	0.83333	-0.06874	0.07128
0	30.0	NOSF	7030.89060	0.67267	0.53333	0.01381	0.04687
0	30.0	RMWS	1254.99240	0.79087	0.83333	-0.17152	0.15927
1	30.0	ROSA	39116.80000	0.63431	0.73333	-0.03513	0.18551
1	30.0	NOSF	22174.01480	0.85862	0.56667	-0.03737	0.08285
1	30.0	RMWS	11747.39800	0.91161	0.70000	-0.01995	0.20710
2	30.0	ROSA	19388.00000	0.25932	0.73333	-0.04854	0.13665
2	30.0	NOSF	5891.51240	0.59456	0.53333	-0.01959	0.05860
2	30.0	RMWS	1447.98480	0.71344	0.76667	-0.12598	0.16482
3	30.0	ROSA	22524.80000	0.50467	0.73333	-0.08044	0.13884
3	30.0	NOSF	7295.94040	0.81867	0.66667	-0.06517	0.06510
3	30.0	RMWS	6122.11280	0.81172	0.60000	-0.05125	0.21323
4	30.0	ROSA	19670.40000	0.62048	0.80000	-0.06197	0.10005
4	30.0	NOSF	2654.69440	0.90736	0.50000	-0.00049	0.05391
4	30.0	RMWS	3617.74760	0.89125	0.83333	-0.10271	0.18398
5	30.0	ROSA	27130.40000	0.50825	0.76667	-0.04171	0.17651
5	30.0	NOSF	3599.27500	0.87924	0.46667	-0.02459	0.07548
5	30.0	RMWS	3537.33720	0.85545	0.70000	-0.04698	0.26802
6	30.0	ROSA	19961.60000	0.48040	0.56667	-0.02588	0.14005
6	30.0	NOSF	6706.33580	0.78763	0.46667	-0.01335	0.07161
6	30.0	RMWS	4820.51480	0.76258	0.63333	-0.09424	0.24125
7	30.0	ROSA	19753.60000	0.44250	0.73333	-0.04683	0.11837
7	30.0	NOSF	9489.31620	0.73236	0.50000	0.00697	0.05061
7	30.0	RMWS	3947.64260	0.83514	0.60000	-0.07388	0.16219
8	30.0	ROSA	33558.80000	0.27518	0.66667	-0.02904	0.27961
8	30.0	NOSF	5799.27400	0.72508	0.60000	0.00599	0.08117
8	30.0	RMWS	2679.26840	0.76127	0.63333	-0.08943	0.21241
9	30.0	ROSA	14752.80000	0.36088	0.83333	-0.06435	0.11167
9	30.0	NOSF	5955.69700	0.65332	0.76667	-0.09304	0.05694
9	30.0	RMWS	3650.77480	0.66698	0.70000	-0.18730	0.21309
Average:	30.0	ROSA	22625.16000	0.46230	0.74000	-0.05026	0.14585
Average:	30.0	NOSF	7659.69506	0.76295	0.56000	-0.02268	0.06431
Average:	30.0	RMWS	4282.57734	0.80003	0.70000	-0.09632	0.20254
0	50.0	ROSA	29221.20000	0.62468	0.76000	-0.04591	0.13591
0	50.0	NOSF	9399.71380	0.87039	0.56000	-0.02950	0.06933
0	50.0	RMWS	10509.75480	0.85732	0.70000	-0.10249	0.17380
1	50.0	ROSA	22708.00000	0.58650	0.76000	-0.04623	0.13516
1	50.0	NOSF	12812.55100	0.73595	0.58000	-0.01267	0.08101
1	50.0	RMWS	8600.82840	0.77502	0.68000	-0.11534	0.21852
2	50.0	ROSA	37577.20000	0.60034	0.74000	-0.04864	0.23436
2	50.0	NOSF	15959.24020	0.84211	0.62000	-0.04486	0.09654
2	50.0	RMWS	10559.57380	0.86023	0.68000	-0.07986	0.22289
3	50.0	ROSA	20347.20000	0.62099	0.84000	-0.09352	0.12095
3	50.0	NOSF	9312.42180	0.80774	0.58000	-0.01661	0.06807
3	50.0	RMWS	6274.84080	0.83171	0.80000	-0.13242	0.17947
4	50.0	ROSA	34462.40000	0.47134	0.62000	-0.03623	0.29786
4	50.0	NOSF	10604.76540	0.78956	0.52000	-0.00920	0.11959
4	50.0	RMWS	7621.95020	0.76992	0.66000	-0.08882	0.33011
5	50.0	ROSA	39868.80000	0.68110	0.76000	-0.03802	0.25749
5	50.0	NOSF	30925.06420	0.76361	0.54000	-0.01577	0.12772
5	50.0	RMWS	10964.51180	0.86060	0.64000	-0.08591	0.26932
6	50.0	ROSA	17340.80000	0.44710	0.80000	-0.02881	0.14150
6	50.0	NOSF	7470.72760	0.64751	0.66000	-0.01514	0.07723
6	50.0	RMWS	3441.16680	0.69145	0.82000	-0.17446	0.26810
7	50.0	ROSA	30989.60000	0.57404	0.66000	-0.04585	0.17800
7	50.0	NOSF	11524.45620	0.83740	0.64000	-0.02907	0.07908
